"#"" IOA data file in comma separated values (.csv). Should be in folder """"data"""" under main folder where the program starts in""",,,,,,,,,,,
# If first character of first column in any row is ! Then GI will cancel rest of the rows.,,,,,,,,,,,
# Supported types:,,,,,,,,,,,
#,"SPI (1,30)",OFF = 0,ON = 1,,,,,,,,
21023,N,59,21023,347,0,,,,,, H-TH02Q0 CMD
21025,N,59,21025,351,0,,,,,, H-TH02Q4 CMD
21027,N,59,21027,355,0,,,,,, TX1  TC REGULATION
21031,N,59,21031,359,0,,,,,, TX2  TC REGULATION
21035,N,59,21035,363,0,,,,,, K-TL01Q0 CMD
21037,N,59,21037,371,0,,,,,, K-TL02Q0 CMD
21039,N,59,21039,379,0,,,,,, K-BS01Q0 CMD
21041,N,59,21041,391,0,,,,,, K-LN01Q0 CMD
21043,N,59,21043,393,0,,,,,, K-LN01Q0 ARC CMD
21045,N,59,21045,401,0,,,,,, K-LN02Q0 CMD
21047,N,59,21047,403,0,,,,,, K-LN02Q0 ARC CMD
21049,N,59,21049,411,0,,,,,, K-LN03Q0 CMD
21051,N,59,21051,413,0,,,,,, K-LN03Q0 ARC CMD
21053,N,59,21053,421,0,,,,,, K-LN04Q0 CMD
21055,N,59,21055,423,0,,,,,, K-LN04Q0 ARC CMD
21057,N,59,21057,431,0,,,,,, K-LN05Q0 CMD
21059,N,59,21059,433,0,,,,,, K-LN05Q0 ARC CMD
21061,N,59,21061,441,0,,,,,, K-LN06Q0 CMD
21063,N,59,21063,443,0,,,,,, K-LN06Q0 ARC CMD
21065,N,59,21065,451,0,,,,,, K-LN07Q0 CMD
21067,N,59,21067,453,0,,,,,, K-LN07Q0 ARC CMD
21069,N,59,21069,461,0,,,,,, K-LN08Q0 CMD
21071,N,59,21071,463,0,,,,,, K-LN08Q0 ARC CMD
21073,N,59,21073,471,0,,,,,, K-ST01Q0 CMD
21075,N,59,21075,477,0,,,,,, K-CB01Q0 CMD
21077,N,59,21077,483,0,,,,,, K-C1  CAP MODE
21079,N,59,21079,485,0,,,,,, K-C1  SB1
21081,N,59,21081,487,0,,,,,, K-C1  SB2
21083,N,59,21083,489,0,,,,,, K-C1  SB3
21085,N,59,21085,491,0,,,,,, K-C1  SB4
21087,N,59,21087,493,0,,,,,, K-C1  SB5
21089,N,59,21089,497,0,,,,,, K-CB02Q0 CMD
21091,N,59,21091,503,0,,,,,, K-C2  CAP MODE
21093,N,59,21093,505,0,,,,,, K-C2  SB1
21095,N,59,21095,507,0,,,,,, K-C2  SB2
21097,N,59,21097,509,0,,,,,, K-C2  SB3
21099,N,59,21099,511,0,,,,,, K-C2  SB4
21101,N,59,21101,513,0,,,,,, K-C2  SB5
#------------------------,,SCO command with time tag + STATUS--------------,,,,,,,,,
22001,N,58,22001,1011,0,,,,,, H-LN01Q0 FDR LOCKOUT
22002,N,58,22002,1014,0,,,,,, H-LN01Q0 SYNCH ON
22003,N,58,22003,1015,0,,,,,, H-LN01Q0 SYNCH OFF
22004,N,58,22004,1016,0,,,,,, H-LN01Q0 SYNCH OR
22005,N,58,22005,1027,0,,,,,, H-LN02Q0 FDR LOCKOUT
22006,N,58,22006,1030,0,,,,,, H-LN02Q0 SYNCH ON
22007,N,58,22007,1031,0,,,,,, H-LN02Q0 SYNCH OFF
22008,N,58,22008,1032,0,,,,,, H-LN02Q0 SYNCH OR
22009,N,58,22009,1043,0,,,,,, H-LN03Q0 FDR LOCKOUT
22010,N,58,22010,1046,0,,,,,, H-LN03Q0 SYNCH ON
22011,N,58,22011,1047,0,,,,,, H-LN03Q0 SYNCH OFF
22012,N,58,22012,1048,0,,,,,, H-LN03Q0 SYNCH OR
22013,N,58,22013,1061,0,,,,,, H-BS01Q0 FDR LOCKOUT
22014,N,58,22014,1065,0,,,,,, H-BS01Q0 SYNCH ON
22015,N,58,22015,1066,0,,,,,, H-BS01Q0 SYNCH OFF
22016,N,58,22016,1067,0,,,,,, H-BS01Q0 SYNCH OR
22017,N,58,22017,1077,0,,,,,, H-TH01Q0 FDR LOCKOUT
22018,N,58,22018,1089,0,,,,,, H-TH02Q0 FDR LOCKOUT
22019,N,58,22019,1103,0,,,,,,TX1 FOLLOWER
22020,N,58,22020,1104,0,,,,,,TX1 INDEPENDENT
22021,N,58,22021,1105,0,,,,,,TX1 MASTER
22022,N,58,22022,1119,0,,,,,,TX2 FOLLOWER
22023,N,58,22023,1120,0,,,,,,TX2 INDEPENDENT
22024,N,58,22024,1121,0,,,,,,TX2 MASTER
22025,N,58,22025,1134,0,,,,,, K-TL01Q0 FDR LOCKOUT
22026,N,58,22026,1137,0,,,,,, K-TL01Q0 SYNCH ON
22027,N,58,22027,1138,0,,,,,, K-TL01Q0 SYNCH OR
22028,N,58,22028,1149,0,,,,,, K-TL02Q0 FDR LOCKOUT
22029,N,58,22029,1152,0,,,,,, K-TL02Q0 SYNCH ON
22030,N,58,22030,1153,0,,,,,, K-TL02Q0 SYNCH OR
22043,N,58,22043,1162,0,,,,,, K-BS01Q0 FDR LOCKOUT
22044,N,58,22044,1165,0,,,,,, K-BS01Q0 SYNCH ON
22045,N,58,22045,1166,0,,,,,, K-BS01Q0 SYNCH OR
22032,N,58,22032,1179,0,,,,,, K-LN01Q0 FDR LOCKOUT
22033,N,58,22033,1193,0,,,,,, K-LN02Q0 FDR LOCKOUT
22034,N,58,22034,1207,0,,,,,, K-LN03Q0 FDR LOCKOUT
22035,N,58,22035,1221,0,,,,,, K-LN04Q0 FDR LOCKOUT
22036,N,58,22036,1235,0,,,,,, K-LN05Q0 FDR LOCKOUT
22037,N,58,22037,1249,0,,,,,, K-LN06Q0 FDR LOCKOUT
22038,N,58,22038,1263,0,,,,,, K-LN07Q0 FDR LOCKOUT
22039,N,58,22039,1277,0,,,,,, K-LN08Q0 FDR LOCKOUT
22040,N,58,22040,1286,0,,,,,, K-ST01Q0 FDR LOCKOUT
22041,N,58,22041,1296,0,,,,,, K-CB01Q0 FDR LOCKOUT
22042,N,58,22042,1313,0,,,,,, K-CB02Q0 FDR LOCKOUT
#------------------------,,DPI + CP56Time2a -------------,,,0,,,,,,
1.23E+11,Y,31,301,2,0,,,,,, H-LN01Q0 BAY CTRL
301,Y,31,303,2,0,,,,,, H-LN01Q0 
301,Y,31,305,2,0,,,,,, H-LN01Q1
301,Y,31,307,2,0,,,,,, H-LN01Q3 
301,Y,31,301,2,0,,,,,, H-LN02Q0 BAY CTRL
301,Y,31,311,2,0,,,,,, H-LN02Q0 
301,Y,31,313,2,0,,,,,, H-LN02Q1
301,Y,31,315,2,0,,,,,, H-LN02Q3 
#!End of GI,N,31,,,0,,,,,,
317,Y,31,317,2,0,,,,,, H-LN03Q0 BAY CTRL
319,Y,31,319,2,0,,,,,, H-LN03Q0 
321,Y,31,321,2,0,,,,,, H-LN03Q1
323,Y,31,323,2,0,,,,,, H-LN03Q3 
325,Y,31,325,2,0,,,,,, H-BS01Q0 BAY CTRL
327,Y,31,327,2,0,,,,,, H-BS01Q0 
329,Y,31,329,2,0,,,,,, H-BS01Q1A
331,Y,31,331,2,0,,,,,, H-BS01Q1B
333,Y,31,333,2,0,,,,,, H-BS01Q2A
335,Y,31,335,2,0,,,,,, H-BS01Q2B
337,Y,31,337,2,0,,,,,, H-TH01Q0 BAY CTRL
339,Y,31,339,2,0,,,,,, H-TH01Q0 
341,Y,31,341,2,0,,,,,, H-TH01Q1
343,Y,31,343,2,0,,,,,, H-TH01Q4
345,Y,31,345,2,0,,,,,, H-TH02Q0 BAY CTRL
347,Y,31,347,2,0,,,,,, H-TH02Q0 
349,Y,31,349,2,0,,,,,, H-TH02Q1
351,Y,31,351,2,0,,,,,, H-TH02Q4
353,Y,31,353,2,0,,,,,, TX1  TC CTRL MODE
355,Y,31,355,2,0,,,,,, TX1  TC REGULATION
357,Y,31,357,2,0,,,,,, TX2  TC CTRL MODE
359,Y,31,359,2,0,,,,,, TX2  TC REGULATION
361,Y,31,361,2,0,,,,,, K-TL01Q0 BAY CTRL
363,Y,31,363,2,0,,,,,, K-TL01Q0
365,Y,31,365,2,0,,,,,, K-TL01 Q0 INTERLOCK/BYPASS
367,Y,31,367,2,0,,,,,, K-TL01Q1
369,Y,31,369,2,0,,,,,, K-TL02Q0 BAY CTRL
371,Y,31,371,2,0,,,,,, K-TL02Q0
373,Y,31,373,2,0,,,,,, K-TL02 Q0 INTERLOCK/BYPASS
375,Y,31,375,2,0,,,,,, K-TL02Q1
379,Y,31,379,2,0,,,,,, K-BS01Q0
381,Y,31,381,2,0,,,,,, K-BS01 Q0 INTERLOCK/BYPASS
383,Y,31,383,2,0,,,,,, K-BS01 Q0 TRIP/BYPASS
385,Y,31,385,2,0,,,,,, K-BS01Q1A
387,Y,31,387,2,0,,,,,, K-BS01Q1B
389,Y,31,389,2,0,,,,,, K-LN01Q0 BAY CTRL
391,Y,31,391,2,0,,,,,, K-LN01Q0
393,Y,31,393,2,0,,,,,, K-LN01Q0 ARC
395,Y,31,395,2,0,,,,,, K-LN01Q0 CROSS TRIP 
397,Y,31,397,2,0,,,,,, K-LN01Q1
399,Y,31,399,2,0,,,,,, K-LN02Q0 BAY CTRL
401,Y,31,401,2,0,,,,,, K-LN02Q0
403,Y,31,403,2,0,,,,,, K-LN02Q0 ARC
405,Y,31,405,2,0,,,,,, K-LN02Q0 CROSS TRIP 
407,Y,31,407,2,0,,,,,, K-LN02Q1
409,Y,31,409,2,0,,,,,, K-LN03Q0 BAY CTRL
411,Y,31,411,2,0,,,,,, K-LN03Q0
413,Y,31,413,2,0,,,,,, K-LN03Q0 ARC
415,Y,31,415,2,0,,,,,, K-LN03Q0 CROSS TRIP 
417,Y,31,417,2,0,,,,,, K-LN03Q1
419,Y,31,419,2,0,,,,,, K-LN04Q0 BAY CTRL
421,Y,31,421,2,0,,,,,, K-LN04Q0
423,Y,31,423,2,0,,,,,, K-LN04Q0 ARC
425,Y,31,425,2,0,,,,,, K-LN04Q0 CROSS TRIP 
427,Y,31,427,2,0,,,,,, K-LN04Q1
429,Y,31,429,2,0,,,,,, K-LN05Q0 BAY CTRL
431,Y,31,431,2,0,,,,,, K-LN05Q0
433,Y,31,433,2,0,,,,,, K-LN05Q0 ARC
435,Y,31,435,2,0,,,,,, K-LN05Q0 CROSS TRIP 
437,Y,31,437,2,0,,,,,, K-LN05Q1
439,Y,31,439,2,0,,,,,, K-LN06Q0 BAY CTRL
441,Y,31,441,2,0,,,,,, K-LN06Q0
443,Y,31,443,2,0,,,,,, K-LN06Q0 ARC
445,Y,31,445,2,0,,,,,, K-LN06Q0 CROSS TRIP 
447,Y,31,447,2,0,,,,,, K-LN06Q1
449,Y,31,449,2,0,,,,,, K-LN07Q0 BAY CTRL
451,Y,31,451,2,0,,,,,, K-LN07Q0
453,Y,31,453,2,0,,,,,, K-LN07Q0 ARC
455,Y,31,455,2,0,,,,,, K-LN07Q0 CROSS TRIP 
457,Y,31,457,2,0,,,,,, K-LN07Q1
459,Y,31,459,2,0,,,,,, K-LN08Q0 BAY CTRL
461,Y,31,461,2,0,,,,,, K-LN08Q0
463,Y,31,463,2,0,,,,,, K-LN08Q0 ARC
465,Y,31,465,2,0,,,,,, K-LN08Q0 CROSS TRIP 
467,Y,31,467,2,0,,,,,, K-LN08Q1
469,Y,31,469,2,0,,,,,, K-ST01Q0 BAY CTRL
471,Y,31,471,2,0,,,,,, K-ST01Q0
473,Y,31,473,2,0,,,,,, K-ST01Q1
475,Y,31,475,2,0,,,,,, K-CB01Q0 BAY CTRL
477,Y,31,477,2,0,,,,,, K-CB01Q0
479,Y,31,479,2,0,,,,,, K-CB01Q1
481,Y,31,481,2,0,,,,,, K-C1  CAP CTRL
483,Y,31,483,2,0,,,,,, K-C1  CAP MODE
485,Y,31,485,2,0,,,,,, K-C1  SB1
487,Y,31,487,2,0,,,,,, K-C1  SB2
489,Y,31,489,2,0,,,,,, K-C1  SB3
491,Y,31,491,2,0,,,,,, K-C1  SB4
493,Y,31,493,2,0,,,,,, K-C1  SB5
495,Y,31,495,2,0,,,,,, K-CB02Q0 BAY CTRL
497,Y,31,497,2,0,,,,,, K-CB02Q0
499,Y,31,499,2,0,,,,,, K-CB02Q1
501,Y,31,501,2,0,,,,,, K-C2  CAP CTRL
503,Y,31,503,2,0,,,,,, K-C2  CAP MODE
505,Y,31,505,2,0,,,,,, K-C2  SB1
507,Y,31,507,2,0,,,,,, K-C2  SB2
509,Y,31,509,2,0,,,,,, K-C2  SB3
511,Y,31,511,2,0,,,,,, K-C2  SB4
513,Y,31,513,2,0,,,,,, K-C2  SB5
515,Y,31,515,2,0,,,,,, DUMMY CB
#------------------------,,SPI + CP56Time2a -------------,,,0,,,,,,
1001,Y,30,1001,0,0,,,,,, H-LN01Q0 AC FAIL
1002,Y,30,1002,0,0,,,,,, H-LN01Q0 DC FAIL
1003,Y,30,1003,0,0,,,,,,  H-LN01Q0 EF PROT
1004,Y,30,1004,0,0,,,,,,  H-LN01Q0 HIGHSET OC PROT
1005,Y,30,1005,0,0,,,,,,  H-LN01Q0 OC PROT
1006,Y,30,1006,0,0,,,,,,  H-LN01Q0 FAIL
1007,Y,30,1007,0,0,,,,,,  H-LN01Q0 NDR PROT
1008,Y,30,1008,0,0,,,,,,  H-LN01Q0 PROT FAULT
1009,Y,30,1009,0,0,,,,,,  H-LN01Q0 SF6 LOW
1010,Y,30,1010,0,0,,,,,,  H-LN01Q0 SF6 LOCKOUT
1011,Y,30,1011,0,0,,,,,,  H-LN01Q0 TRIP RELAY
1012,Y,30,1012,0,0,,,,,, H-LN01Q0 TRP CIRC FAULT
1013,Y,30,1013,0,0,,,,,, H-LN01Q0 VT FAIL
1014,Y,30,1014,0,0,,,,,, H-LN01Q0 SYNCH ON
1015,Y,30,1015,0,0,,,,,, H-LN01Q0 SYNCH OFF
1016,Y,30,1016,0,0,,,,,, H-LN01Q0 SYNCH OR
1017,Y,30,1017,0,0,,,,,, H-LN02Q0 AC FAIL
1018,Y,30,1018,0,0,,,,,, H-LN02Q0 DC FAIL
1019,Y,30,1019,0,0,,,,,,  H-LN02Q0 EF PROT
1020,Y,30,1020,0,0,,,,,,  H-LN02Q0 HIGHSET OC PROT
1021,Y,30,1021,0,0,,,,,,  H-LN02Q0 OC PROT
1022,Y,30,1022,0,0,,,,,,  H-LN02Q0 FAIL
1023,Y,30,1023,0,0,,,,,,  H-LN02Q0 NDR PROT
1024,Y,30,1024,0,0,,,,,,  H-LN02Q0 PROT FAULT
1025,Y,30,1025,0,0,,,,,,  H-LN02Q0 SF6 LOW
1026,Y,30,1026,0,0,,,,,,  H-LN02Q0 SF6 LOCKOUT
1027,Y,30,1027,0,0,,,,,,  H-LN02Q0 TRIP RELAY
1028,Y,30,1028,0,0,,,,,, H-LN02Q0 TRP CIRC FAULT
1029,Y,30,1029,0,0,,,,,, H-LN02Q0 VT FAIL
1030,Y,30,1030,0,0,,,,,, H-LN02Q0 SYNCH ON
1031,Y,30,1031,0,0,,,,,, H-LN02Q0 SYNCH OFF
1032,Y,30,1032,0,0,,,,,, H-LN02Q0 SYNCH OR
1033,Y,30,1033,0,0,,,,,, H-LN03Q0 AC FAIL
1034,Y,30,1034,0,0,,,,,, H-LN03Q0 DC FAIL
1035,Y,30,1035,0,0,,,,,,  H-LN03Q0 EF PROT
1036,Y,30,1036,0,0,,,,,,  H-LN03Q0 HIGHSET OC PROT
1037,Y,30,1037,0,0,,,,,,  H-LN03Q0 OC PROT
1038,Y,30,1038,0,0,,,,,,  H-LN03Q0 FAIL
1039,Y,30,1039,0,0,,,,,,  H-LN03Q0 NDR PROT
1040,Y,30,1040,0,0,,,,,,  H-LN03Q0 PROT FAULT
1041,Y,30,1041,0,0,,,,,,  H-LN03Q0 SF6 LOW
1042,Y,30,1042,0,0,,,,,,  H-LN03Q0 SF6 LOCKOUT
1043,Y,30,1043,0,0,,,,,,  H-LN03Q0 TRIP RELAY
1044,Y,30,1044,0,0,,,,,, H-LN03Q0 TRP CIRC FAULT
1045,Y,30,1045,0,0,,,,,, H-LN03Q0 VT FAIL
1046,Y,30,1046,0,0,,,,,, H-LN03Q0 SYNCH ON
1047,Y,30,1047,0,0,,,,,, H-LN03Q0 SYNCH OFF
1048,Y,30,1048,0,0,,,,,, H-LN03Q0 SYNCH OR
1049,Y,30,1049,0,0,,,,,, H-BS01Q0 AC FAIL
1050,Y,30,1050,0,0,,,,,, H-BS01Q0 DC FAIL
1051,Y,30,1051,0,0,,,,,,  H-BS01Q0 BB ZONE-1 PROT
1052,Y,30,1052,0,0,,,,,,  H-BS01Q0 BB ZONE-2 PROT
1053,Y,30,1053,0,0,,,,,,  H-BS01Q0 BB CHECK ZONE PROT
1054,Y,30,1054,0,0,,,,,,  H-BS01Q0 EF PROT
1055,Y,30,1055,0,0,,,,,,  H-BS01Q0 HIGHSET OC PROT
1056,Y,30,1056,0,0,,,,,,  H-BS01Q0 OC PROT
1057,Y,30,1057,0,0,,,,,,  H-BS01Q0 FAIL
1058,Y,30,1058,0,0,,,,,,  H-BS01Q0 PROT FAULT
1059,Y,30,1059,0,0,,,,,,  H-BS01Q0 SF6 LOW
1060,Y,30,1060,0,0,,,,,,  H-BS01Q0 SF6 LOCKOUT
1061,Y,30,1061,0,0,,,,,,  H-BS01Q0 TRIP RELAY
1062,Y,30,1062,0,0,,,,,,  H-BS01Q0 TRP CIRC FAULT
1063,Y,30,1063,0,0,,,,,,  H-BS01Q0 VT-1 FAIL
1064,Y,30,1064,0,0,,,,,,  H-BS01Q0 VT-2 FAIL
1065,Y,30,1065,0,0,,,,,, H-BS01Q0 SYNCH ON
1066,Y,30,1066,0,0,,,,,, H-BS01Q0 SYNCH OFF
1067,Y,30,1067,0,0,,,,,, H-BS01Q0 SYNCH OR
1068,Y,30,1068,0,0,,,,,, H-TH01Q0 AC FAIL
1069,Y,30,1069,0,0,,,,,, H-TH01Q0 DC FAIL
1070,Y,30,1070,0,0,,,,,,  H-TH01Q0 EF PROT
1071,Y,30,1071,0,0,,,,,,  H-TH01Q0 HIGHSET OC PROT
1072,Y,30,1072,0,0,,,,,,  H-TH01Q0 OC PROT
1073,Y,30,1073,0,0,,,,,,  H-TH01Q0 FAIL
1074,Y,30,1074,0,0,,,,,,  H-TH01Q0 PROT FAULT
1075,Y,30,1075,0,0,,,,,,  H-TH01Q0 SF6 LOW
1076,Y,30,1076,0,0,,,,,,  H-TH01Q0 SF6 LOCKOUT
1077,Y,30,1077,0,0,,,,,,  H-TH01Q0 TRIP RELAY
1078,Y,30,1078,0,0,,,,,,  H-TH01Q0 TRP CIRC FAULT
1079,Y,30,1079,0,0,,,,,,  H-TH01Q0 VT FAIL
1080,Y,30,1080,0,0,,,,,, H-TH02Q0 AC FAIL
1081,Y,30,1081,0,0,,,,,, H-TH02Q0 DC FAIL
1082,Y,30,1082,0,0,,,,,, H-TH02Q0 EF PROT
1083,Y,30,1083,0,0,,,,,, H-TH02Q0 HIGHSET OC PROT
1084,Y,30,1084,0,0,,,,,, H-TH02Q0 OC PROT
1085,Y,30,1085,0,0,,,,,, H-TH02Q0 FAIL
1086,Y,30,1086,0,0,,,,,, H-TH02Q0 PROT FAULT
1087,Y,30,1087,0,0,,,,,, H-TH02Q0 SF6 LOW
1088,Y,30,1088,0,0,,,,,, H-TH02Q0 SF6 LOCKOUT
1089,Y,30,1089,0,0,,,,,, H-TH02Q0 TRIP RELAY
1090,Y,30,1090,0,0,,,,,, H-TH02Q0 TRP CIRC FAULT
1091,Y,30,1091,0,0,,,,,,  H-TH02Q0 VT FAIL
1092,Y,30,1092,0,0,,,,,,TX1 AC FAIL
1093,Y,30,1093,0,0,,,,,, TX1  BUCH
1094,Y,30,1094,0,0,,,,,, TX1  BUCH PROT
1095,Y,30,1095,0,0,,,,,,TX1 DC FAIL
1096,Y,30,1096,0,0,,,,,, TX1  FORCE COOL
1097,Y,30,1097,0,0,,,,,, TX1  OIL LVL LOW
1098,Y,30,1098,0,0,,,,,, TX1  OIL TEMP
1099,Y,30,1099,0,0,,,,,, TX1  OIL TEMP PROT
1100,Y,30,1100,0,0,,,,,, TX1  OUT OF STEP
1101,Y,30,1101,0,0,,,,,, TX1  PRES PROT
1102,Y,30,1102,0,0,,,,,, TX1  TC FAIL
1103,Y,30,1103,0,0,,,,,,TX1 FOLLOWER
1104,Y,30,1104,0,0,,,,,,TX1 INDEPENDENT
1105,Y,30,1105,0,0,,,,,,TX1 MASTER
1106,Y,30,1106,0,0,,,,,, TX1  WDG TEMP
1107,Y,30,1107,0,0,,,,,, TX1  WDG TMP PROT
1108,Y,30,1108,0,0,,,,,,TX2 AC FAIL
1109,Y,30,1109,0,0,,,,,, TX2  BUCH
1110,Y,30,1110,0,0,,,,,, TX2  BUCH PROT
1111,Y,30,1111,0,0,,,,,,TX2 DC FAIL
1112,Y,30,1112,0,0,,,,,, TX2  FORCE COOL
1113,Y,30,1113,0,0,,,,,, TX2  OIL LVL LOW
1114,Y,30,1114,0,0,,,,,, TX2  OIL TEMP
1115,Y,30,1115,0,0,,,,,, TX2  OIL TEMP PROT
1116,Y,30,1116,0,0,,,,,, TX2  OUT OF STEP
1117,Y,30,1117,0,0,,,,,, TX2  PRES PROT
1118,Y,30,1118,0,0,,,,,, TX2  TC FAIL
1119,Y,30,1119,0,0,,,,,,TX2 FOLLOWER
1120,Y,30,1120,0,0,,,,,,TX2 INDEPENDENT
1121,Y,30,1121,0,0,,,,,,TX2 MASTER
1122,Y,30,1122,0,0,,,,,, TX2  WDG TEMP
1123,Y,30,1123,0,0,,,,,, TX2  WDG TMP PROT
1124,Y,30,1124,0,0,,,,,, K-TL01Q0 AC FAIL
1125,Y,30,1125,0,0,,,,,, K-TL01Q0 DC FAIL
1126,Y,30,1126,0,0,,,,,, K-TL01Q0 DEF PROT
1127,Y,30,1127,0,0,,,,,, K-TL01Q0 DIFF PROT
1128,Y,30,1128,0,0,,,,,, K-TL01Q0 DOC PROT
1129,Y,30,1129,0,0,,,,,, K-TL01Q0 OUT OF SERVICE
1130,Y,30,1130,0,0,,,,,, K-TL01Q0 PROT FAULT
1131,Y,30,1131,0,0,,,,,, K-TL01Q0 FAIL
1132,Y,30,1132,0,0,,,,,, K-TL01Q0 REF PROT
1133,Y,30,1133,0,0,,,,,, K-TL01Q0 SBEF PROT
1134,Y,30,1134,0,0,,,,,, K-TL01Q0 TRIP RELAY
1135,Y,30,1135,0,0,,,,,, K-TL01Q0 TRP CIRC FAULT
1136,Y,30,1136,0,0,,,,,, K-TL01Q0 VT FAIL
1137,Y,30,1137,0,0,,,,,, K-TL01Q0 SYNCH ON
1138,Y,30,1138,0,0,,,,,, K-TL01Q0 SYNCH OR
1139,Y,30,1139,0,0,,,,,, K-TL02Q0 AC FAIL
1140,Y,30,1140,0,0,,,,,, K-TL02Q0 DC FAIL
1141,Y,30,1141,0,0,,,,,, K-TL02Q0 DEF PROT
1142,Y,30,1142,0,0,,,,,, K-TL02Q0 DIFF PROT
1143,Y,30,1143,0,0,,,,,, K-TL02Q0 DOC PROT
1144,Y,30,1144,0,0,,,,,, K-TL02Q0 OUT OF SERVICE
1145,Y,30,1145,0,0,,,,,, K-TL02Q0 PROT FAULT
1146,Y,30,1146,0,0,,,,,, K-TL02Q0 FAIL
1147,Y,30,1147,0,0,,,,,, K-TL02Q0 REF PROT
1148,Y,30,1148,0,0,,,,,, K-TL02Q0 SBEF PROT
1149,Y,30,1149,0,0,,,,,, K-TL02Q0 TRIP RELAY
1150,Y,30,1150,0,0,,,,,, K-TL02Q0 TRP CIRC FAULT
1151,Y,30,1151,0,0,,,,,, K-TL02Q0 VT FAIL
1152,Y,30,1152,0,0,,,,,, K-TL02Q0 SYNCH ON
1153,Y,30,1153,0,0,,,,,, K-TL02Q0 SYNCH OR
1154,Y,30,1154,0,0,,,,,, K-BS01Q0 AC FAIL
1155,Y,30,1155,0,0,,,,,, K-BS01Q0 DC FAIL
1156,Y,30,1156,0,0,,,,,, K-BS01Q0 EF PROT
1157,Y,30,1157,0,0,,,,,, K-BS01Q0 OC PROT
1158,Y,30,1158,0,0,,,,,, K-BS01Q0 OUT OF SERVICE
1159,Y,30,1159,0,0,,,,,,  K-BS01Q0 PROT FAULT
1160,Y,30,1160,0,0,,,,,, K-BS01Q0 FAIL
1161,Y,30,1161,0,0,,,,,, K-BS01Q0 TRP CIRC FAULT
1162,Y,30,1162,0,0,,,,,,  K-BS01Q0 TRIP RELAY
1163,Y,30,1163,0,0,,,,,, K-BS01Q0 VT-1 FAIL
1164,Y,30,1164,0,0,,,,,, K-BS01Q0 VT-2 FAIL
1165,Y,30,1165,0,0,,,,,, K-BS01Q0 SYNCH ON
1166,Y,30,1166,0,0,,,,,, K-BS01Q0 SYNCH OR
1167,Y,30,1167,0,0,,,,,, K-LN01Q0 AC FAIL
1168,Y,30,1168,0,0,,,,,, K-LN01Q0 ARC INITIATED
1169,Y,30,1169,0,0,,,,,, K-LN01Q0 ARC LOCKOUT
1170,Y,30,1170,0,0,,,,,, K-LN01Q0 BRKN CON PROT
1171,Y,30,1171,0,0,,,,,, K-LN01Q0 DC FAIL
1172,Y,30,1172,0,0,,,,,, K-LN01Q0 EF PROT
1173,Y,30,1173,0,0,,,,,,K-LN01Q0 HIGH OC
1174,Y,30,1174,0,0,,,,,, K-LN01Q0 OC PROT
1175,Y,30,1175,0,0,,,,,, K-LN01Q0 OUT OF SERVICE
